item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000001,Research_Samples,26.8,17.5,19.4,2.4,84,N/A,2304,Storage_Bay
000002,LED_Work_Light,49.9,36.3,44.2,40.03,90,N/A,3558,Maintenance_Bay
000003,Pressure_Regulator,48.1,33.2,43.1,34.41,16,N/A,1075,Airlock
000004,Emergency_Oxygen_Mask,15.6,46.5,17.0,6.17,42,N/A,709,Medical_Bay
000005,Battery_Pack,23.2,31.6,18.2,6.67,93,N/A,175,External_Storage
000006,Laptop,11.5,39.7,46.0,10.5,60,N/A,2333,Command_Center
000007,Emergency_Oxygen_Mask,17.6,15.1,24.9,3.31,5,N/A,3783,Medical_Bay
000008,CO2_Scrubber,39.2,13.0,36.7,9.35,92,N/A,144,Life_Support
000009,Emergency_Oxygen_Mask,31.3,16.5,33.9,8.75,20,N/A,4702,Crew_Quarters
000010,Food_Packet,15.7,18.6,29.4,9.3,41,2025-10-23,11,Storage_Bay
000011,EV_Suit_Battery,11.3,31.8,43.7,7.85,94,N/A,975,Storage_Bay
000012,Seed_Packets,26.0,18.1,11.5,6.9,39,N/A,5,Greenhouse
000013,Tether_Reel,32.7,35.6,48.0,27.94,76,N/A,4670,Airlock
000014,First_Aid_Kit,27.4,16.6,24.5,8.1,22,N/A,55,Crew_Quarters
000015,Fire_Extinguisher,33.9,43.2,48.2,35.29,18,N/A,2212,Engineering_Bay
000016,LED_Work_Light,44.9,11.0,14.4,3.56,92,N/A,3412,Engineering_Bay
000017,LED_Work_Light,27.6,32.5,17.5,7.85,79,N/A,4912,Maintenance_Bay
000018,Radiation_Shield,15.4,35.8,22.7,6.26,97,N/A,1031,Engineering_Bay
000019,CO2_Scrubber,23.7,22.4,32.8,8.71,11,N/A,574,Life_Support
000020,Vacuum_Sealed_Tools,33.3,39.2,33.2,21.67,17,N/A,3956,Storage_Bay
000021,Space_Suit,36.9,47.6,33.7,29.6,24,N/A,41,Storage_Bay
000022,Thruster_Fuel,20.6,42.4,24.7,10.79,74,N/A,3491,Engine_Bay
000023,Pressure_Regulator,41.7,16.1,28.0,9.4,88,N/A,401,Airlock
000024,Radiation_Shield,49.6,47.9,14.9,17.7,80,N/A,3304,Storage_Bay
000025,Protein_Bars,37.6,19.6,20.8,7.66,86,N/A,3047,Crew_Quarters
000026,Vacuum_Sealed_Tools,46.5,46.7,25.6,27.8,93,N/A,3434,Maintenance_Bay
000027,CO2_Scrubber,45.0,46.7,10.0,10.51,11,N/A,652,Engineering_Bay
000028,Seed_Packets,10.8,16.1,24.7,6.8,74,N/A,50,Lab
000029,Oxygen_Cylinder,20.4,17.9,47.0,29.3,69,N/A,2250,Medical_Bay
000030,Handheld_Spectrometer,11.0,36.9,11.7,2.37,2,N/A,4138,Engineering_Bay
000031,Protein_Bars,38.2,28.3,16.2,8.76,36,N/A,29,Crew_Quarters
000032,Handheld_Spectrometer,35.8,19.8,41.4,14.67,11,N/A,3131,Lab
000033,Microgravity_Lab_Kit,21.3,17.7,15.2,6.3,64,N/A,6,Crew_Quarters
000034,Communication_Device,50.0,34.7,29.9,25.94,31,N/A,2318,Crew_Quarters
000035,Battery_Pack,26.2,46.8,27.3,16.74,93,N/A,243,External_Storage
000036,Fire_Extinguisher,42.5,46.2,49.4,48.5,97,N/A,3420,Crew_Quarters
000037,Antibiotic_Supply,14.3,13.2,39.5,3.73,75,2025-05-01,4332,Lab
000038,Microgravity_Lab_Kit,22.2,28.5,26.4,5.4,85,N/A,99,Crew_Quarters
000039,Seed_Packets,18.9,19.6,29.8,6.6,13,N/A,91,Lab
000040,Tether_Reel,30.4,49.7,14.4,10.88,22,N/A,4050,External_Storage
000041,Helmet_Visor,40.4,30.9,47.9,29.9,63,N/A,3383,Storage_Bay
000042,Water_Bottle,41.8,41.0,41.5,35.56,72,N/A,4506,Storage_Bay
000043,Circuit_Board,35.2,41.2,43.0,31.18,48,N/A,587,Storage_Bay
000044,Navigation_Module,46.6,20.1,13.9,6.51,21,N/A,4610,Command_Center
000045,EV_Suit_Battery,15.5,45.8,22.7,8.06,88,N/A,415,Airlock
000046,Thruster_Fuel,10.8,37.6,30.4,6.17,66,N/A,1772,Storage_Bay
000047,Vacuum_Sealed_Tools,43.0,34.8,28.7,21.47,69,N/A,3345,Storage_Bay
000048,Scientific_Sensor,15.9,38.0,28.6,8.64,79,N/A,29,Cockpit
000049,Food_Packet,11.6,26.1,23.8,4.9,61,2026-06-17,9,Crew_Quarters
000050,Tool_Kit,13.8,25.9,19.1,8.3,83,N/A,49,Storage_Bay
000051,Research_Samples,17.2,20.4,26.8,6.4,14,N/A,2342,Lab
000052,Protein_Bars,34.7,14.8,38.4,9.86,94,N/A,1035,Storage_Bay
000053,Handheld_Spectrometer,43.1,48.2,30.5,31.68,21,N/A,4783,Engineering_Bay
000054,Scientific_Sensor,12.1,24.3,37.7,5.54,84,N/A,3487,Cockpit
000055,First_Aid_Kit,21.6,15.4,10.1,4.3,87,N/A,51,Medical_Bay
000056,Oxygen_Cylinder,24.8,18.5,55.6,24.3,25,N/A,2989,Medical_Bay
000057,Handheld_Spectrometer,18.6,12.0,48.4,5.4,88,N/A,582,Engineering_Bay
000058,CO2_Scrubber,17.9,16.3,25.8,3.76,48,N/A,749,Engineering_Bay
000059,Helmet_Visor,37.3,19.7,42.7,15.69,92,N/A,4420,Storage_Bay
000060,Tether_Reel,48.4,17.5,11.3,4.79,95,N/A,4702,External_Storage
000061,Research_Samples,21.6,14.9,16.2,1.8,60,N/A,2016,Lab
000062,Water_Bottle,49.3,46.1,28.5,32.39,20,N/A,1907,Storage_Bay
000063,Radiation_Shield,49.4,22.0,44.8,24.34,6,N/A,2348,Engineering_Bay
000064,Emergency_Beacon,44.3,43.3,15.1,14.48,13,N/A,1951,Cockpit
000065,Handheld_Spectrometer,39.2,49.3,36.2,34.98,69,N/A,1172,Lab
